service_id,date,exception_type
384561_321994,20251017,2
384561_322022,20251016,2
384561_322022,20251018,2
384561_322022,20251015,2
384561_322022,20251017,2
384561_322044,20251101,1
384561_322044,20251111,1
384584_322137,20251101,2
384584_322137,20251111,2
384584_322225,20251101,2
384584_322225,20251111,2
384584_323876,20251101,2
384584_323876,20251111,2
384585_322144,20251101,1
384585_322144,20251111,1
384585_322233,20251101,1
384585_322233,20251111,1
384585_324895,20251101,1
384585_324895,20251111,1
384585_324910,20251101,1
384585_324910,20251111,1
384585_324953,20251101,1
384585_324953,20251111,1
384621_322760,20251101,2
384621_322760,20251111,2
384621_322770,20251101,2
384621_322770,20251111,2
384621_322781,20251101,2
384621_322781,20251111,2
384621_322791,20251101,2
384621_322791,20251111,2
384621_322807,20251101,2
384621_322807,20251111,2
384621_322818,20251101,2
384621_322818,20251111,2
384621_322829,20251101,2
384621_322829,20251111,2
384621_322839,20251101,2
384621_322839,20251111,2
384621_322850,20251101,2
384621_322850,20251111,2
384621_322860,20251101,2
384621_322860,20251111,2
384621_322870,20251101,2
384621_322870,20251111,2
384621_322885,20251101,2
384621_322885,20251111,2
384621_322900,20251101,2
384621_322900,20251111,2
384621_322911,20251101,2
384621_322911,20251111,2
384630_322944,20251101,2
384630_322944,20251111,2
384630_322961,20251101,2
384630_322961,20251111,2
384630_322968,20251101,2
384630_322968,20251111,2
384630_322973,20251101,2
384630_322973,20251111,2
384630_322999,20251101,2
384630_322999,20251111,2
384630_323011,20251101,2
384630_323011,20251111,2
384630_323016,20251101,2
384630_323016,20251111,2
384630_323046,20251101,2
384630_323046,20251111,2
384630_323054,20251101,2
384630_323054,20251111,2
384630_323061,20251101,2
384630_323061,20251111,2
384630_323067,20251101,2
384630_323067,20251111,2
384630_323086,20251101,2
384630_323086,20251111,2
384630_323097,20251101,2
384630_323097,20251111,2
384630_323103,20251101,2
384630_323103,20251111,2
384630_323114,20251101,2
384630_323114,20251111,2
384638_323546,20251101,2
384638_323546,20251111,2
384638_323567,20251101,2
384638_323567,20251111,2
384638_323635,20251101,2
384638_323635,20251111,2
384638_323666,20251101,2
384638_323666,20251111,2
384638_323689,20251101,2
384638_323689,20251111,2
384639_323735,20251101,2
384639_323735,20251111,2
384639_323768,20251101,2
384639_323768,20251111,2
384666_323883,20251101,2
384666_323883,20251111,2
384666_323921,20251101,2
384666_323921,20251111,2
384667_324087,20251101,2
384667_324087,20251111,2
384670_324169,20251101,1
384670_324169,20251111,1
384677_324988,20251101,2
384677_324988,20251111,2
384677_324993,20251101,1
384677_324993,20251111,1
384677_325013,20251101,2
384677_325013,20251111,2
384677_325034,20251101,1
384677_325034,20251111,1
384677_325060,20251101,2
384677_325060,20251111,2
384677_325065,20251101,1
384677_325065,20251111,1
384677_325070,20251101,2
384677_325070,20251111,2
384677_325087,20251101,1
384677_325087,20251111,1
